,Name,Cost,Protein (g),Calories,Fat (g),Servings,Preparation Time (m),Health Score,Gluten Free,Vegetarian,Dairy Free,name lower,Food Type,Meat Type
203,Creamy Chicken Orzo Soup,0.3049242424242424,0.1523809523809524,0.11388119421360418,0.05504587155963303,0.01694915254237288,0.061068702290076333,0.15873015873015872,False,False,True,creamy chicken orzo soup,Poultry,Meat
204,Meatball Sliders,0.2481060606060606,0.17142857142857143,0.10587873191751308,0.04892966360856269,0.15254237288135594,0.061068702290076333,0.15873015873015872,False,False,False,meatball sliders,Comfort,Vegetarian
205,Apple Brown Betty,0.2518939393939394,0.02857142857142857,0.18744228993536471,0.06116207951070336,0.03389830508474576,0.061068702290076333,0.031746031746031744,False,True,False,apple brown betty,Dessert,Vegetarian
206,"Pasta with Garlic, Scallions, Cauliflower & Breadcrumbs",0.3011363636363636,0.2,0.1917513080947984,0.06116207951070336,0.0,0.061068702290076333,0.30158730158730157,False,False,False,"pasta with garlic, scallions, cauliflower & breadcrumbs",Veggies/Beans,Vegetarian
207,Beef Pot Pies with Irish Cheddar Crust,0.356060606060606,0.4095238095238095,0.2157586949830717,0.1162079510703364,0.03389830508474576,0.061068702290076333,0.3968253968253968,False,False,False,beef pot pies with irish cheddar crust,Dessert,Vegetarian
208,Four-Berry Blast Fruit Smoothie,0.22727272727272727,0.10476190476190476,0.07725453985841797,0.03363914373088685,0.01694915254237288,0.007633587786259542,0.2857142857142857,True,True,False,four-berry blast fruit smoothie,Beverage,Vegetarian
209,Spicy Indian-Style Hummus,0.07575757575757576,0.047619047619047616,0.03724222837796245,0.01834862385321101,0.0847457627118644,0.061068702290076333,0.6349206349206349,True,True,True,spicy indian-style hummus,Dip/Sauce,Vegetarian
210,Tropical Ice Pops,0.16287878787878787,0.0,0.02708525700215451,0.009174311926605505,0.03389830508474576,0.061068702290076333,0.20634920634920634,True,True,True,tropical ice pops,Dessert,Vegetarian
211,Cauliflower Breadsticks,0.14204545454545453,0.05714285714285714,0.023699599876885195,0.01529051987767584,0.05084745762711865,0.061068702290076333,0.19047619047619047,True,True,False,cauliflower breadsticks,Veggies/Beans,Vegetarian
212,Corned Beef Cakes,0.34469696969696967,0.26666666666666666,0.17328408741151125,0.0581039755351682,0.00847457627118644,0.061068702290076333,0.47619047619047616,False,False,False,corned beef cakes,Dessert,Vegetarian
213,Slow Cooker Red Beans and Rice,0.29734848484848486,0.2761904761904762,0.19267466912896275,0.09480122324159021,0.025423728813559324,0.061068702290076333,0.25396825396825395,True,False,False,slow cooker red beans and rice,Veggies/Beans,Vegetarian
214,Gluten Free Blueberry Muffins,0.08712121212121213,0.0380952380952381,0.061557402277623886,0.027522935779816515,0.0847457627118644,0.061068702290076333,0.015873015873015872,True,True,False,gluten free blueberry muffins,Breakfast,Vegetarian
215,Braised Pork: Filipino Humba,0.2727272727272727,0.1523809523809524,0.17543859649122806,0.1437308868501529,0.01694915254237288,0.061068702290076333,0.23809523809523808,False,False,True,braised pork: filipino humba,Pork,Meat
216,Tuscan White Bean Soup with Olive Oil and Rosemary,0.04734848484848484,0.05714285714285714,0.02708525700215451,0.0030581039755351682,0.03389830508474576,0.061068702290076333,0.30158730158730157,True,True,True,tuscan white bean soup with olive oil and rosemary,Veggies/Beans,Vegetarian
217,Brooklyn Blackout Cake,0.10795454545454544,0.0761904761904762,0.09726069559864574,0.04892966360856269,0.06779661016949153,0.061068702290076333,0.06349206349206349,False,False,False,brooklyn blackout cake,Dessert,Vegetarian
218,Cheesecake Ice-Cream With Mango Syrup,0.23295454545454544,0.0761904761904762,0.08987380732533087,0.03363914373088685,0.06779661016949153,0.061068702290076333,0.07936507936507936,True,True,False,cheesecake ice-cream with mango syrup,Dessert,Vegetarian
219,How to Make OREO Turkeys for Thanksgiving,0.03787878787878787,0.009523809523809525,0.033548784241305016,0.021406727828746176,0.3898305084745763,0.05343511450381679,0.0,False,False,False,how to make oreo turkeys for thanksgiving,Poultry,Meat
220,English Berry Trifle,0.20265151515151517,0.0380952380952381,0.07787011388119422,0.027522935779816515,0.11864406779661017,0.5267175572519084,0.031746031746031744,True,False,False,english berry trifle,Dessert,Vegetarian
221,Easy Bread Pudding and Vans,0.28787878787878785,0.10476190476190476,0.17851646660510925,0.12232415902140673,0.0,0.061068702290076333,0.06349206349206349,True,False,False,easy bread pudding and vans,Dessert,Vegetarian
222,Dulce De Leche Cheesecake,0.23484848484848483,0.0761904761904762,0.12711603570329333,0.1162079510703364,0.06779661016949153,0.061068702290076333,0.031746031746031744,True,True,False,dulce de leche cheesecake,Dessert,Vegetarian
223,Mardi Gras Cupcakes,0.20454545454545456,0.02857142857142857,0.1698984302862419,0.10703363914373089,0.1016949152542373,0.061068702290076333,0.0,False,False,False,mardi gras cupcakes,Dessert,Vegetarian
224,Rotisserie Chicken and Bean Tostadas,0.3428030303030303,0.29523809523809524,0.11942136041859033,0.04892966360856269,0.00847457627118644,0.03816793893129771,0.2698412698412698,True,False,False,rotisserie chicken and bean tostadas,Poultry,Meat
225,Cheesy Turkey Meatballs,0.49810606060606055,0.3523809523809524,0.13911972914742998,0.03669724770642202,0.01694915254237288,0.061068702290076333,0.2857142857142857,False,False,False,cheesy turkey meatballs,Poultry,Meat
226,French Onion Marsala Soup,0.5075757575757576,0.24761904761904763,0.17943982763927363,0.12232415902140673,0.01694915254237288,0.061068702290076333,0.1111111111111111,False,False,False,french onion marsala soup,Soup,Vegetarian
227,Curried Cabbage & Kale Gratin,0.23106060606060605,0.12380952380952381,0.08156355801785165,0.05198776758409786,0.05084745762711865,0.061068702290076333,0.25396825396825395,False,False,False,curried cabbage & kale gratin,Veggies/Beans,Vegetarian
228,Baked Alaska,0.13446969696969696,0.08571428571428572,0.12711603570329333,0.05504587155963303,0.0847457627118644,0.061068702290076333,0.047619047619047616,True,False,True,baked alaska,Dessert,Vegetarian
229,Lemon Scented Polenta Pancakes with Blueberry Thyme Syrup,0.22727272727272727,0.02857142857142857,0.09325946445060018,0.05198776758409786,0.0847457627118644,0.061068702290076333,0.031746031746031744,False,True,False,lemon scented polenta pancakes with blueberry thyme syrup,Dessert,Vegetarian
230,Creme Brulee,0.17424242424242423,0.02857142857142857,0.04739919975377039,0.04281345565749235,0.05084745762711865,0.35877862595419846,0.015873015873015872,True,True,False,creme brulee,Dessert,Vegetarian
231,Coconut Carrot-Ginger Soup,0.22348484848484845,0.06666666666666667,0.08279470606340412,0.06116207951070336,0.03389830508474576,0.061068702290076333,0.19047619047619047,True,True,True,coconut carrot-ginger soup,Soup,Vegetarian
233,What to make for dinner tonight?? Bruschetta Style Pork & Pasta,0.26704545454545453,0.3333333333333333,0.15635580178516467,0.03058103975535168,0.025423728813559324,0.04580152671755725,0.31746031746031744,False,False,False,what to make for dinner tonight?? bruschetta style pork & pasta,Pork,Meat
234,Black Bean Brownies,0.0928030303030303,0.047619047619047616,0.06771314250538628,0.03669724770642202,0.0847457627118644,0.061068702290076333,0.031746031746031744,False,False,False,black bean brownies,Dessert,Vegetarian
235,Trinidadian Chicken Potato Curry,0.28409090909090906,0.3333333333333333,0.1665127731609726,0.11314984709480122,0.01694915254237288,0.061068702290076333,0.2698412698412698,True,False,True,trinidadian chicken potato curry,Poultry,Meat
236,Sourdough Stuffing with Sage Sausage and Apples,0.38257575757575757,0.1523809523809524,0.12742382271468145,0.0672782874617737,0.05084745762711865,0.061068702290076333,0.1746031746031746,False,False,False,sourdough stuffing with sage sausage and apples,Pork,Meat
237,Sliced Baguette with Anchovy Chive Butter and Radishes,0.0625,0.02857142857142857,0.038781163434903045,0.021406727828746176,0.11864406779661017,0.061068702290076333,0.015873015873015872,False,False,False,sliced baguette with anchovy chive butter and radishes,Comfort,Vegetarian
238,Citrus Beet Salad,0.3920454545454545,0.0761904761904762,0.060941828254847646,0.027522935779816515,0.01694915254237288,0.061068702290076333,0.3333333333333333,True,True,False,citrus beet salad,Salad/Fruit,Vegetarian
239,Classic Vanilla-Orange Sugar Cookies,0.06628787878787878,0.02857142857142857,0.06401969836872884,0.039755351681957186,0.1864406779661017,0.061068702290076333,0.015873015873015872,False,True,False,classic vanilla-orange sugar cookies,Dessert,Vegetarian
240,Roasted Pumpkin and Barley Risotto,0.375,0.17142857142857143,0.12496152662357649,0.027522935779816515,0.00847457627118644,0.10687022900763359,0.49206349206349204,False,False,False,roasted pumpkin and barley risotto,Grain/Pasta/Starch,Vegetarian
241,Eggplant Fries with Tzatziki Sauce,0.15340909090909088,0.12380952380952381,0.08648815020006156,0.01834862385321101,0.0,0.061068702290076333,0.19047619047619047,False,False,False,eggplant fries with tzatziki sauce,Dip/Sauce,Vegetarian
242,Raised Doughnuts,0.05113636363636364,0.01904761904761905,0.04216682056017236,0.03363914373088685,0.1864406779661017,0.45038167938931295,0.0,False,True,False,raised doughnuts,Dessert,Vegetarian
243,Chinese Steamed Flan,0.31249999999999994,0.06666666666666667,0.07202216066481995,0.01834862385321101,0.03389830508474576,0.061068702290076333,0.1111111111111111,True,True,False,chinese steamed flan,Dessert,Vegetarian
244,Vanilla Coconut Snowball Cupcakes,0.09090909090909091,0.0380952380952381,0.12280701754385964,0.06422018348623854,0.09322033898305085,0.061068702290076333,0.015873015873015872,False,True,False,vanilla coconut snowball cupcakes,Dessert,Vegetarian
245,Yorkshire Pudding,0.017045454545454544,0.02857142857142857,0.01569713758079409,0.0061162079510703364,0.0847457627118644,0.061068702290076333,0.015873015873015872,False,False,False,yorkshire pudding,Dessert,Vegetarian
246,Chicken Enchilada Casserole,0.22348484848484845,0.1619047619047619,0.0840258541089566,0.03669724770642202,0.05084745762711865,0.061068702290076333,0.06349206349206349,False,False,False,chicken enchilada casserole,Poultry,Meat
247,Apple Pie,0.4204545454545454,0.06666666666666667,0.17051400430901817,0.03669724770642202,0.05084745762711865,0.061068702290076333,0.07936507936507936,False,True,False,apple pie,Dessert,Vegetarian
248,Eggplant & Artichoke Heart Galettes,0.8106060606060607,0.20952380952380953,0.19113573407202217,0.09785932721712538,0.0,0.061068702290076333,0.42857142857142855,True,True,False,eggplant & artichoke heart galettes,Veggies/Beans,Vegetarian
249,Bacon-Wrapped Meatloaf,0.4223484848484848,0.3333333333333333,0.21421975992613113,0.16819571865443425,0.03389830508474576,0.1297709923664122,0.2222222222222222,True,False,False,bacon-wrapped meatloaf,Pork,Meat
250,Pesto Chicken Zoodles,0.5132575757575757,0.3333333333333333,0.15727916281932902,0.12538226299694188,0.00847457627118644,0.061068702290076333,0.38095238095238093,True,False,False,pesto chicken zoodles,Poultry,Meat
251,Alouette Sundried Tomato and Basil Bisque,0.05871212121212121,0.009523809523809525,0.009541397353031703,0.0030581039755351682,0.05084745762711865,0.061068702290076333,0.015873015873015872,True,False,True,alouette sundried tomato and basil bisque,Veggies/Beans,Vegetarian
252,Refreshing Strawberry Limeade,0.10606060606060605,0.0,0.0332409972299169,0.0,0.01694915254237288,0.061068702290076333,0.031746031746031744,True,True,True,refreshing strawberry limeade,Dessert,Vegetarian
253,Medenjaci - Croatian Honey Spice Cookies,0.03219696969696969,0.01904761904761905,0.03908895044629117,0.01529051987767584,0.3644067796610169,0.061068702290076333,0.0,False,False,False,medenjaci - croatian honey spice cookies,Dessert,Vegetarian
255,Savory corn and chives muffins,0.04734848484848484,0.06666666666666667,0.056017236072637734,0.01834862385321101,0.0847457627118644,0.061068702290076333,0.047619047619047616,False,True,False,savory corn and chives muffins,Breakfast,Vegetarian
256,Square Deviled Eggs,0.009469696969696968,0.0380952380952381,0.009849184364419821,0.009174311926605505,0.03389830508474576,0.061068702290076333,0.015873015873015872,True,False,False,square deviled eggs,Breakfast,Vegetarian
257,Bigoli with smoked salmon,0.8390151515151514,0.24761904761904763,0.19606032625423206,0.08868501529051988,0.00847457627118644,0.061068702290076333,0.6984126984126984,False,False,False,bigoli with smoked salmon,Seafood,Meat
258,Carrot Cake Snack Bites,0.03598484848484848,0.009523809523809525,0.017236072637734686,0.01529051987767584,0.15254237288135594,0.061068702290076333,0.2222222222222222,True,True,True,carrot cake snack bites,Dessert,Vegetarian
259,Plantain Pizza,0.2708333333333333,0.2571428571428571,0.19883040935672514,0.07033639143730887,0.00847457627118644,0.061068702290076333,0.4444444444444444,False,False,True,plantain pizza,Grain/Pasta/Starch,Vegetarian
260,Chocolate Mousse in Chocolate Shell,0.16477272727272727,0.047619047619047616,0.19329024315173898,0.16819571865443425,0.03389830508474576,0.061068702290076333,0.047619047619047616,True,False,False,chocolate mousse in chocolate shell,Dessert,Vegetarian
261,Chocolate and Szechuan Peppercorn Brownies,0.07765151515151515,0.047619047619047616,0.08987380732533087,0.045871559633027525,0.11864406779661017,0.061068702290076333,0.031746031746031744,False,False,False,chocolate and szechuan peppercorn brownies,Dessert,Vegetarian
262,No-Bake Chocolate Peanut Butter Pie,0.21969696969696967,0.13333333333333333,0.15758694983071714,0.11009174311926606,0.05084745762711865,0.061068702290076333,0.07936507936507936,True,False,False,no-bake chocolate peanut butter pie,Dessert,Vegetarian
263,Guacamole,0.15719696969696967,0.01904761904761905,0.04739919975377039,0.045871559633027525,0.01694915254237288,0.061068702290076333,0.3492063492063492,True,True,True,guacamole,Dip/Sauce,Vegetarian
264,Naturally Sweet Apple Turnovers,0.09659090909090909,0.02857142857142857,0.05755617112957833,0.03058103975535168,0.11864406779661017,0.061068702290076333,0.015873015873015872,False,True,False,naturally sweet apple turnovers,Dessert,Vegetarian
265,Chocolate Fudge Cookies,0.05681818181818182,0.01904761904761905,0.04709141274238227,0.027522935779816515,0.1864406779661017,0.022900763358778626,0.0,False,False,False,chocolate fudge cookies,Dessert,Vegetarian
266,Honey Dijon Roasted Brussels Sprout,0.0946969696969697,0.01904761904761905,0.03139427516158818,0.021406727828746176,0.01694915254237288,0.061068702290076333,0.23809523809523808,True,True,True,honey dijon roasted brussels sprout,Veggies/Beans,Vegetarian
267,Cucumber and Cannellini Bean Side Salad,0.17045454545454544,0.047619047619047616,0.03139427516158818,0.01529051987767584,0.06779661016949153,0.061068702290076333,0.2857142857142857,True,True,True,cucumber and cannellini bean side salad,Veggies/Beans,Vegetarian
268,"Kale & chickpea stew with cumin, smoked paprika and lime",0.12310606060606058,0.0380952380952381,0.04586026469682979,0.01529051987767584,0.03389830508474576,0.061068702290076333,0.1746031746031746,True,True,False,"kale & chickpea stew with cumin, smoked paprika and lime",Veggies/Beans,Vegetarian
269,Toasted Coconut Pancakes with Toasted Coconut Sauce,0.21590909090909088,0.06666666666666667,0.12896275777162203,0.09174311926605505,0.059322033898305086,0.061068702290076333,0.047619047619047616,False,False,True,toasted coconut pancakes with toasted coconut sauce,Dessert,Vegetarian
270,Jambalaya Stew,0.4223484848484848,0.2,0.08494921514312095,0.024464831804281346,0.01694915254237288,0.061068702290076333,0.49206349206349204,True,False,True,jambalaya stew,Soup,Vegetarian
271,Agave Glazed Carrots,0.06060606060606061,0.009523809523809525,0.020621729763004002,0.009174311926605505,0.01694915254237288,0.061068702290076333,0.047619047619047616,True,True,False,agave glazed carrots,Veggies/Beans,Vegetarian
272,"Peppermint Brookie Pies - gluten free, dairy free",0.10606060606060605,0.02857142857142857,0.08525700215450908,0.03669724770642202,0.11864406779661017,0.061068702290076333,0.015873015873015872,True,False,True,"peppermint brookie pies - gluten free, dairy free",Dessert,Vegetarian
273,The BEST Lemon Bars,0.16666666666666666,0.08571428571428572,0.2409972299168975,0.10397553516819572,0.03389830508474576,0.061068702290076333,0.047619047619047616,False,True,False,the best lemon bars,Dessert,Vegetarian
274,Peach Pie,0.32196969696969696,0.08571428571428572,0.1631271160357033,0.11314984709480122,0.03389830508474576,0.061068702290076333,0.047619047619047616,False,True,False,peach pie,Dessert,Vegetarian
275,German Rhubarb Cake with Meringue,0.10795454545454544,0.047619047619047616,0.06124961526623576,0.012232415902140673,0.0847457627118644,0.061068702290076333,0.06349206349206349,False,True,True,german rhubarb cake with meringue,Dessert,Vegetarian
276,Mini frittatas with quinoa,0.03219696969696969,0.02857142857142857,0.007079101261926747,0.0061162079510703364,0.1864406779661017,0.061068702290076333,0.015873015873015872,True,False,False,mini frittatas with quinoa,Grain/Pasta/Starch,Vegetarian
277,Bacon Wrapped Breadsticks,0.19507575757575757,0.13333333333333333,0.07725453985841797,0.06116207951070336,0.01694915254237288,0.061068702290076333,0.031746031746031744,False,False,False,bacon wrapped breadsticks,Pork,Meat
278,Coconut Rice Pudding,0.21969696969696967,0.10476190476190476,0.16374269005847952,0.03058103975535168,0.0,0.061068702290076333,0.14285714285714285,True,True,False,coconut rice pudding,Dessert,Vegetarian
280,"Corn Chowder with Potatoes, Poblanos, and Smoked Gouda",0.29924242424242425,0.08571428571428572,0.07940904893813482,0.04281345565749235,0.03389830508474576,0.061068702290076333,0.1111111111111111,True,True,False,"corn chowder with potatoes, poblanos, and smoked gouda",Soup,Vegetarian
281,White Chocolate Cheesecake With Raspberries,0.2575757575757575,0.0380952380952381,0.08464142813173284,0.05504587155963303,0.11864406779661017,0.061068702290076333,0.031746031746031744,False,False,False,white chocolate cheesecake with raspberries,Dessert,Vegetarian
282,Cider-Braised Pork Shoulder With Caramelized Onion and Apple Confit,0.4242424242424242,0.3523809523809524,0.13973530317020622,0.06116207951070336,0.01694915254237288,0.061068702290076333,0.6031746031746031,True,False,True,cider-braised pork shoulder with caramelized onion and apple confit,Dessert,Vegetarian
283,Alouette Chicken Paprika,0.7916666666666666,0.23809523809523808,0.048938134810710986,0.01834862385321101,0.01694915254237288,0.061068702290076333,0.8888888888888888,True,False,False,alouette chicken paprika,Poultry,Meat
284,Easy Eggplant Curry,0.1818181818181818,0.02857142857142857,0.036011080332409975,0.024464831804281346,0.03389830508474576,0.061068702290076333,0.14285714285714285,True,True,True,easy eggplant curry,Breakfast,Vegetarian
285,"Chicken Sausage, White Bean and Cabbage Soup",0.3636363636363636,0.18095238095238095,0.0920283164050477,0.039755351681957186,0.03389830508474576,0.061068702290076333,0.2857142857142857,True,False,True,"chicken sausage, white bean and cabbage soup",Pork,Meat
286,Crock-Pot: Asian-Style Country Ribs with Black Bean Garlic Sauce,0.4242424242424242,0.638095238095238,0.21514312096029548,0.12844036697247707,0.01694915254237288,0.061068702290076333,0.20634920634920634,False,False,True,crock-pot: asian-style country ribs with black bean garlic sauce,Pork,Meat
287,Basil Marinated Grilled Chicken,0.4829545454545454,0.45714285714285713,0.08371806709756849,0.027522935779816515,0.05084745762711865,0.061068702290076333,0.42857142857142855,True,False,True,basil marinated grilled chicken,Poultry,Meat
288,Pecan Pumpkin Pie Dessert Pizza with Maple Whipped Cream,0.25946969696969696,0.05714285714285714,0.1172668513388735,0.08868501529051988,0.06779661016949153,0.061068702290076333,0.047619047619047616,False,False,False,pecan pumpkin pie dessert pizza with maple whipped cream,Dessert,Vegetarian
289,Antipasto Squares,0.6022727272727273,0.2857142857142857,0.22283779624499847,0.1559633027522936,0.03389830508474576,0.061068702290076333,0.1111111111111111,False,False,False,antipasto squares,Dessert,Vegetarian
290,Baby Chick Cupcakes,0.07386363636363637,0.0380952380952381,0.13573407202216067,0.0672782874617737,0.0847457627118644,0.061068702290076333,0.015873015873015872,False,True,False,baby chick cupcakes,Dessert,Vegetarian
291,Slow Cooker Chicken Taco Soup,0.25946969696969696,0.22857142857142856,0.0920283164050477,0.012232415902140673,0.03389830508474576,0.732824427480916,0.4444444444444444,True,False,True,slow cooker chicken taco soup,Poultry,Meat
292,Smokey Rainbow Chili,0.20075757575757575,0.09523809523809523,0.06678978147122192,0.01529051987767584,0.05084745762711865,0.061068702290076333,0.6666666666666666,True,True,True,smokey rainbow chili,Soup,Vegetarian
293,Home made coffee ice cream,0.1837121212121212,0.06666666666666667,0.14681440443213298,0.11314984709480122,0.03389830508474576,0.061068702290076333,0.031746031746031744,True,True,False,home made coffee ice cream,Dessert,Vegetarian
294,Turkey Enchilada Bake,0.5681818181818181,0.23809523809523808,0.15204678362573099,0.09480122324159021,0.05084745762711865,0.061068702290076333,0.36507936507936506,True,False,False,turkey enchilada bake,Poultry,Meat
295,A Christmas With Peking Duck,0.4261363636363636,0.3333333333333333,0.3745767928593413,0.363914373088685,0.0847457627118644,0.061068702290076333,0.36507936507936506,True,False,True,a christmas with peking duck,Poultry,Meat
296,Tzadziki,0.5056818181818181,0.09523809523809523,0.1348107109879963,0.11926605504587157,0.0,0.061068702290076333,0.20634920634920634,True,True,False,tzadziki,Dip/Sauce,Vegetarian
297,Cherry Pancakes for One,0.14015151515151514,0.0380952380952381,0.04032009849184364,0.0030581039755351682,0.00847457627118644,0.061068702290076333,0.047619047619047616,False,True,False,cherry pancakes for one,Dessert,Vegetarian
299,White Chocolate Raspberry Brie Cups,0.0625,0.009523809523809525,0.012619267466912895,0.0061162079510703364,0.11016949152542373,0.022900763358778626,0.0,False,False,False,white chocolate raspberry brie cups,Dessert,Vegetarian
301,Raw Vegan Chocolate and Raspberry Cake,0.26136363636363635,0.06666666666666667,0.10403200984918437,0.07033639143730887,0.0847457627118644,0.061068702290076333,0.2698412698412698,False,False,True,raw vegan chocolate and raspberry cake,Dessert,Vegetarian
302,Peppermint Hot Chocolate Cupcakes,0.09848484848484848,0.02857142857142857,0.11141889812249924,0.045871559633027525,0.1864406779661017,0.061068702290076333,0.015873015873015872,False,False,False,peppermint hot chocolate cupcakes,Dessert,Vegetarian
303,Bacon & Egg Toast Cups,0.2727272727272727,0.22857142857142856,0.1742074484456756,0.12538226299694188,0.0,0.061068702290076333,0.14285714285714285,False,False,False,bacon & egg toast cups,Pork,Meat
304,Toasted Tropical Marshmallows,0.19318181818181818,0.0380952380952381,0.14773776546629733,0.03058103975535168,0.03389830508474576,0.061068702290076333,0.015873015873015872,True,False,True,toasted tropical marshmallows,Dessert,Vegetarian
305,Caramel Peanut Fudge Cake,0.23484848484848483,0.1619047619047619,0.14650661742074483,0.1162079510703364,0.06779661016949153,0.061068702290076333,0.23809523809523808,True,True,False,caramel peanut fudge cake,Dessert,Vegetarian
306,"Banana, Cranberry and Apple Bread",0.07954545454545454,0.06666666666666667,0.11265004616805172,0.045871559633027525,0.05084745762711865,0.061068702290076333,0.047619047619047616,False,True,False,"banana, cranberry and apple bread",Grain/Pasta/Starch,Vegetarian
307,Gluten Free Dairy Free Buttermilk Biscuits,0.10606060606060605,0.047619047619047616,0.06001846722068329,0.045871559633027525,0.0847457627118644,0.061068702290076333,0.0,True,True,False,gluten free dairy free buttermilk biscuits,Comfort,Vegetarian
308,Butternut Squash & Pear Soup: Real Convenience Food,0.5833333333333334,0.047619047619047616,0.11511234225915666,0.04281345565749235,0.0,0.061068702290076333,0.4126984126984127,True,True,True,butternut squash & pear soup: real convenience food,Soup,Vegetarian
309,Peach & Brown Sugar Pancakes,0.23484848484848483,0.11428571428571428,0.14035087719298245,0.09174311926605505,0.0,0.061068702290076333,0.09523809523809523,False,True,False,peach & brown sugar pancakes,Dessert,Vegetarian
310,Seared Pork Chops W/ Mango Salsa,0.6912878787878788,0.37142857142857144,0.12126808248691905,0.06116207951070336,0.01694915254237288,0.061068702290076333,0.873015873015873,True,False,True,seared pork chops w/ mango salsa,Pork,Meat
311,Snickerdoodle Ice Cream,0.3958333333333333,0.047619047619047616,0.20190827947060633,0.1651376146788991,0.01694915254237288,0.061068702290076333,0.031746031746031744,True,True,False,snickerdoodle ice cream,Dessert,Vegetarian
312,Citrus Arugula Salad with Seared Scallops,0.26704545454545453,0.08571428571428572,0.02123730378578024,0.0030581039755351682,0.0,0.061068702290076333,0.20634920634920634,True,False,True,citrus arugula salad with seared scallops,Seafood,Meat
314,Loaded Baked Potato Soup with Crispy-Fried Potato Skins,0.2765151515151515,0.17142857142857143,0.1394275161588181,0.0856269113149847,0.05084745762711865,0.061068702290076333,0.12698412698412698,False,False,False,loaded baked potato soup with crispy-fried potato skins,Dessert,Vegetarian
315,Bacon Wrapped Green Bean Bundles,0.29924242424242425,0.11428571428571428,0.17820867959372114,0.14067278287461774,0.03389830508474576,0.061068702290076333,0.06349206349206349,True,False,False,bacon wrapped green bean bundles,Pork,Meat
316,"Skillet Sweet Potato Casserole with Bacon, Brown Sugar Crumble",0.17424242424242423,0.047619047619047616,0.08833487226839028,0.06422018348623854,0.03389830508474576,0.06870229007633588,0.12698412698412698,False,False,False,"skillet sweet potato casserole with bacon, brown sugar crumble",Dessert,Vegetarian
317,Swiss Chard and Mushroom Popover Bake,0.1799242424242424,0.12380952380952381,0.07540781779008926,0.05198776758409786,0.01694915254237288,0.061068702290076333,0.2222222222222222,True,False,False,swiss chard and mushroom popover bake,Veggies/Beans,Vegetarian
318,Chilled Cucumber Avocado Soup with Yogurt and Kefir,0.4015151515151515,0.08571428571428572,0.0523237919359803,0.021406727828746176,0.00847457627118644,0.061068702290076333,0.873015873015873,True,True,False,chilled cucumber avocado soup with yogurt and kefir,Veggies/Beans,Vegetarian
319,Savory Olive & Goat Cheese Palmiers,0.13825757575757575,0.0380952380952381,0.05817174515235457,0.045871559633027525,0.11864406779661017,0.061068702290076333,0.047619047619047616,False,False,False,savory olive & goat cheese palmiers,Comfort,Vegetarian
320,Almond Cookie Bar,0.12878787878787876,0.02857142857142857,0.07263773468759618,0.03058103975535168,0.1694915254237288,0.061068702290076333,0.015873015873015872,False,False,False,almond cookie bar,Dessert,Vegetarian
321,Great Greek Salad,0.5208333333333333,0.10476190476190476,0.07663896583564174,0.0581039755351682,0.01694915254237288,0.061068702290076333,0.25396825396825395,True,False,False,great greek salad,Salad/Fruit,Vegetarian
322,Thai Shrimp,0.6401515151515151,0.2571428571428571,0.10926438904278239,0.024464831804281346,0.01694915254237288,0.061068702290076333,0.36507936507936506,True,False,True,thai shrimp,Seafood,Meat
323,Cocoa Protein Pancakes,0.2935606060606061,0.24761904761904763,0.12219144352108341,0.04281345565749235,0.0,0.015267175572519083,0.2222222222222222,True,True,False,cocoa protein pancakes,Dessert,Vegetarian
324,Mexican Casserole,0.5681818181818181,0.3142857142857143,0.14804555247768544,0.0581039755351682,0.03389830508474576,0.0916030534351145,0.3492063492063492,True,False,False,mexican casserole,Comfort,Vegetarian
325,Carrot Quinoa Muffins,0.12878787878787876,0.05714285714285714,0.08741151123422591,0.0581039755351682,0.0847457627118644,0.061068702290076333,0.07936507936507936,False,True,False,carrot quinoa muffins,Grain/Pasta/Starch,Vegetarian
326,Roasted Cabbage Wedge Salad with Yogurt Gorgonzola Dressing,0.23863636363636362,0.11428571428571428,0.05355493998153278,0.03363914373088685,0.01694915254237288,0.061068702290076333,0.15873015873015872,True,False,False,roasted cabbage wedge salad with yogurt gorgonzola dressing,Veggies/Beans,Vegetarian
327,Mango Avocado Ice Cream,0.12310606060606058,0.01904761904761905,0.03785780240073869,0.024464831804281346,0.05084745762711865,0.061068702290076333,0.15873015873015872,True,True,False,mango avocado ice cream,Dessert,Vegetarian
328,White Chocolate Christmas Holiday Pretzels and Santa’s Snack Mix,0.28598484848484845,0.11428571428571428,0.2012927054478301,0.0856269113149847,0.059322033898305086,0.061068702290076333,0.06349206349206349,False,False,False,white chocolate christmas holiday pretzels and santa’s snack mix,Dessert,Vegetarian
329,Smashed Fried Lemon Potatoes,0.20265151515151517,0.0380952380952381,0.057248384118190214,0.021406727828746176,0.01694915254237288,0.061068702290076333,0.38095238095238093,True,True,True,smashed fried lemon potatoes,Grain/Pasta/Starch,Vegetarian
330,Beef Cottage Pie,0.2064393939393939,0.1523809523809524,0.05170821791320406,0.01834862385321101,0.05084745762711865,0.061068702290076333,0.14285714285714285,True,False,False,beef cottage pie,Dessert,Vegetarian
331,All Day Simple Slow-Cooker FALL OFF the BONE Ribs,0.2708333333333333,0.0761904761904762,0.18005540166204986,0.03363914373088685,0.01694915254237288,0.061068702290076333,0.047619047619047616,True,False,True,all day simple slow-cooker fall off the bone ribs,Pork,Meat
